Device: xGravity,Device: yGravity,Device: zGravity,Device: xAcceleration,Device: yAcceleration,Device: zAcceleration,Device: pitch,Device: roll,Device: yaw,Device: xRotationRate,Device: yRotationRate,Device: zRotationRate,exerciseType,exerciseSubType,timeStampSaved,individual
-0.14,-0.98,-0.12,0.02,0.1,-0.09,1.39,-0.87,0.48,-0.11,0.1,-0.01,setBreak,setBreak,2017-04-28 08:30:55:571,3
-0.12,-0.98,-0.13,0.04,-0.04,-0.05,1.39,-0.76,0.35,0.02,-0.29,-0.18,setBreak,setBreak,2017-04-28 08:30:55:671,3
-0.1,-0.99,-0.13,0.01,0.03,-0.18,1.41,-0.64,0.18,-0.15,-0.59,-0.42,setBreak,setBreak,2017-04-28 08:30:55:771,3
-0.06,-0.99,-0.15,-0.2,0.03,-0.12,1.41,-0.41,-0.09,-0.19,-0.39,-0.35,setBreak,setBreak,2017-04-28 08:30:55:871,3
-0.06,-0.99,-0.16,-0.24,0.1,-0.1,1.4,-0.34,-0.21,-0.17,-0.38,0.02,setBreak,setBreak,2017-04-28 08:30:55:970,3
-0.07,-0.98,-0.16,-0.2,0.04,-0.04,1.39,-0.39,-0.16,0.18,0.19,0.04,setBreak,setBreak,2017-04-28 08:30:56:071,3
-0.07,-0.99,-0.14,-0.03,0.01,-0.16,1.41,-0.43,-0.11,0.21,0.06,-0.07,setBreak,setBreak,2017-04-28 08:30:56:169,3
-0.06,-0.99,-0.12,-0.08,0.02,-0.14,1.43,-0.46,-0.06,0.25,0.41,0.11,setBreak,setBreak,2017-04-28 08:30:56:268,3
-0.08,-0.99,-0.1,-0.03,0.03,-0.1,1.44,-0.66,0.18,0.21,0.16,0.27,setBreak,setBreak,2017-04-28 08:30:56:369,3
-0.1,-0.99,-0.11,-0.01,0.01,-0.07,1.42,-0.76,0.29,0.19,0.18,0.13,setBreak,setBreak,2017-04-28 08:30:56:471,3
